,nac_migr
Ecuador,506280
Estados Unidos de América,159049
Colombia,88841
España,55116
Perú,45651
Venezuela,17406
Canadá,16441
Chile,14446
Alemania,12219
México,10772
Argentina,10405
Italia,9867
Francia,8890
Brasil,8198
Reino Unido,7766
Países Bajos,6752
China,6143
Panamá,4979
Cuba,4926
Filipinas,3849
Suiza,3592
Australia,2446
Bélgica,2344
Federación de Rusia,2283
Costa Rica,2205
Bolivia,2025
Uruguay,1607
Japón,1456
República Dominicana,1431
República de Corea del Sur,1405
El Salvador,1397
Suecia,1373
Dinamarca,1364
Polonia,1224
Austria,1194
Ucrania,1190
Portugal,1072
Guatemala,1034
Israel,789
República Checa,753
Paraguay,693
Honduras,673
Noruega,611
Irlanda,594
India,533
Rumania,511
Nueva Zelanda,410
Finlandia,398
Nicaragua,396
Turquía,385
Croacia,313
Grecia,279
Hungría,269
Indonesia,255
Myanmar,246
Eslovaquia,239
Sudáfrica,235
Bulgaria,228
Lituania,216
Letonia,189
Irán,143
Egipto,140
Bielorrusia,130
Líbano,123
Haití,120
Eslovenia,110
Vietnam,106
Yemen,103
Estonia,89
Malasia,89
Albania,88
Pakistán,84
Tailandia,84
Singapur,80
Serbia,75
Marruecos,67
Islandia,61
Jamaica,54
Jordania,52
Luxemburgo,52
Trinidad y Tobago,52
Arabia Saudita,41
Georgia,41
Nigeria,40
Argelia,36
República Árabe Siria,36
Kazajistán,35
Guyana,35
Chipre,28
República de Moldovia,28
Bangladesh,27
Ghana,27
Emiratos Árabes Unidos,25
Túnez,23
Malta,22
Sri Lanka,21
Belice,21
Uzbekistán,21
Zimbabue,20
Azerbaiyán,20
Barbados,17
Liechtenstein,17
Palestina,17
Bahamas,16
Catar,16
República Democrática del Congo,15
Uganda,14
Kosovo,13
Montenegro,13
Santa Lucía,13
Nepal,13
Surinam,12
Cabo Verde,12
Ruanda,12
Benín,11
Camerún,11
Bosnia y Herzegovina,11
Tayikistán,11
Costa de Marfil,10
Kiribati,10
Irak,9
Guinea,9
Kenia,9
Kuwait,9
Malí,9
Dominica,8
Mozambique,8
Andorra,8
República Popular Democrática de Corea,7
Omán,7
Kirguistán,7
Libia,7
Antigua y Barbuda,7
Antigua República Yugoslava de Macedonia,7
Etiopía,6
Sudán,6
San Vicente y las Granadinas,6
Angola,6
Mónaco,6
Mauritania,5
Botsuana,5
Barein,5
Burkina Faso,5
Togo,5
Afganistán,5
Armenia,5
Micronesia (Estados Federados de),4
Camboya,4
Guinea Ecuatorial,4
República Democrática Popular Lao,4
Senegal,4
Santa Sede (Vaticano),4
Sierra Leona,4
Eritrea,4
Granada,4
República Centroafricana,3
Malaui,3
Tanzania (República Unida de) ,3
San Cristóbal y Nieves,3
Yibuti,3
Burundi,3
Lesoto,3
Liberia,3
Zambia,3
Guinea-Bisau,2
Chad,2
Congo,2
Mongolia,2
Mauricio,2
Namibia,2
Brunei Darussalam,1
Sudán del Sur,1
Gabón,1
Tonga,1
Níger,1
Gambia,1
Seychelles,1
Papúa Nueva Guinea,1
Fiyi,1
Samoa,1
Islas Salomón,1
