,ocu_migr
Personal de apoyo administrativo no clasificado bajo otros epigrafes,257889
Menores de edad,116264
Estudiantes,107533
Amas de casa,74420
Jubilados y pensionistas,63898
Sin especificar,45997
Comerciantes de tiendas,41978
"Capitanes, oficiales de cubierta y practicos",39039
Ingenieros no clasificados bajo otros epigrafes,28844
"Conductores de automoviles, taxis y camionetas",20530
Directores generales y gerentes generales,18471
Pilotos de aviacion y afines,15859
Medicos generales,14451
Profesionales de la ensenanza no clasificados bajo otros epigrafes,12844
Abogados,12501
Profesores de formacion profesional,9323
"Oficiales, operarios y artesanos de artes mecanicas y de otros oficios no clasificados bajo otros epigrafes",6740
Contables,6325
Auxiliares de servicios de abordo,6292
Marineros de cubierta y afines,5017
Economistas,4901
Asistentes de venta de tiendas y almacenes,4869
Limpiadores y asistentes domesticos,4564
Auxiliares laicos de las religiones,4211
Agricultores y trabajadores calificados de jardines y de cultivos para el mercado,4199
Tecnicos en ciencias fisicas y en ingenieria no clasificados bajo otros epigrafes,4096
Dentistas,4045
Albaniles,4003
"Limpiadores y asistentes de oficinas, hoteles y otros establecimientos",3575
Ingenieros civiles,3560
Profesionales de la publicidad y la comercializacion,3453
Arquitectos,3421
Atletas y deportistas,3420
Profesionales de enfermeria,3356
Agronomos y afines,3252
Disenadores y decoradores de interior,2947
Tecnicos en ingenieria mecanica,2837
Periodistas,2799
Peluqueros,2540
Ingenieros industriales y de produccion,2301
Psicologos,2224
Asesores financieros y en inversiones,2101
Otros miembros de las fuerzas armadas,1995
Cocineros,1974
Miembros del poder ejecutivo y de los gobiernos locales o seccionales,1973
"Musicos, cantantes y compositores",1961
Ingenieros mecanicos,1943
Chefs,1858
Ingenieros electricistas,1787
Artesanos no clasificados bajo otros epigrafes,1749
Secretarios (generales),1739
Camareros de mesas,1714
Cajeros de bancos y afines,1651
Representantes comerciales,1513
Policias,1462
Oficiales y operarios de la construccion (obra gruesa) y afines  no clasificados bajo otros epigrafes,1453
Analistas de gestion y organizacion,1363
Electricistas de obras y afines,1318
Veterinarios,1039
Especialistas en tratamiento de belleza y afines,990
Entrenadores instructores y arbitros de actividades deportivas,981
Analistas financieros,967
Artistas creativos e interpretativos no clasificados bajo otros epigrafes,943
Carpinteros de armar y de obra blanca,909
Profesionales de medicina tradicional y alternativa,871
Ingenieros quimicos,791
"Biologos, botanicos, zoologos y afines",736
Fotografos,729
"Ingenieros de minas, metalurgicos y afines",707
Profesionales del trabajo social,679
Guias de turismo,665
"Costureros, bordadores y afines",661
Productores y trabajadores calificados de explotaciones agropecuarias mixtas cuya produccion se destina al mercado,640
Pintores y empapeladores,632
Empacadores manuales,614
Farmaceuticos,612
Guardianes de proteccion,611
"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines",606
"Sociologos, antropologos y afines",579
Profesionales religiosos,573
Ingenieros en telecomunicaciones,571
Disenadores graficos y multimedia,569
Medicos especialistas,569
"Pescadores, cazadores y tramperosPescadores, cazadores y tramperos",554
Trabajadores de explotacion de acuicultura,546
Autores y otros escritores,539
Criadores de ganado,516
Profesionales de ventas tecnicas y medicas (excluyendo la tic),499
Quimicos,475
"Matematicos, actuarios y estadisticos",470
Profesionales de la proteccion medio ambiental,466
Actores,461
Profesionales de relaciones publicas,459
Agentes de servicios comerciales no clasificados bajo otros epigrafes,442
Geologos y geofisicos,431
Oficinistas generales,406
Mineros y operadores de instalaciones mineras,395
"Traductores, interpretes y linguistas",370
Ebanistas y afines,367
"Sastres, modistos, peleteros y sombrereros",361
Peones de explotacion de cultivos mixtos y ganaderos,359
Inspectores de policia y detectives,349
"Panaderos, pasteleros y confiteros",347
Desarrolladores de software,328
Cuidadores de ninos,309
Bailarines y coreografos,308
Bomberos,300
"Joyeros, orfebres y plateros",275
"Filosofos, historiadores y especialistas en ciencias politicas",272
Tecnicos de radiodifusion y grabacion audio visual,266
Conserjes,221
Especialistas en politicas de administracion,214
"Inspectores de la salud laboral, medioambiental y afines",199
"Modelos de moda, arte y publicidad",186
Zapateros y afines,163
Practicantes paramedicos,156
Mecanicos y reparadores de vehiculos de motor,152
Chapistas y caldereros,145
Maestros preescolares,134
"Mensajeros, mandaderos, maleteros y repartidores",134
Fontaneros e instaladores de tuberias,106
"Artesanos de los tejidos, el cuero y materiales similares",103
Jueces,99
Avicultores y trabajadores calificados de la avicultura,96
Cobradores y afines,94
Peones de carga,92
"Bibliotecarios, documentalistas y afines",91
Cartografos y agrimensores,88
Operadores de instalaciones de refinacion de petroleo y gas natural,84
"Locutores de radio, television y otros medios de comunicacion",77
Archivistas y curadores de museos,77
Lavanderos y planchadores manuales,69
"Tapiceros, colchoneros y afines",66
Artistas de artes plasticas,58
Fisicos y astronomos,57
Profesionales de la salud y la higiene laboral y ambiental,54
Personal directivo de la administracion publica,51
Profesionales en derecho no clasificados bajo otros epigrafes,43
Apicultores y sericultores y trabajadores calificados de la apicultura y la sericultura,40
Grabadores de datos,39
Delineantes y dibujantes Tecnicos,34
Otros profesores de artes,33
"Alfareros y afines  (barro, arcilla y abrasivos)",30
Economos y mayordomos domesticos,29
Otros profesores de idiomas,13
Meteorologos,13
Tecnicos de protesis medicas y dentales,10
"Astrologos, adivinadores y afines",8
Operadores de maquinas para fabricar productos de caucho,8
Catadores y clasificadores de alimentos y bebidas,6
