,destino,cantidad
0,Estados Unidos de América,391600
1,Perú,158557
2,Colombia,132032
3,España,81819
4,México,69877
5,Chile,26617
6,Panamá,24675
7,Canadá,16949
8,Argentina,16131
9,Brasil,14601
10,Italia,13706
11,Alemania,10942
12,Reino Unido,8351
13,Países Bajos,7902
14,Francia,7805
15,Cuba,6670
16,Venezuela,5315
17,Suiza,4262
18,Costa Rica,3772
19,China,3533
20,República Dominicana,3231
21,Bolivia,2866
22,El Salvador,2332
23,Guatemala,1973
24,Bélgica,1910
25,Uruguay,1809
26,Paraguay,1571
27,Federación de Rusia,1166
28,Puerto Rico,1159
29,Suecia,1146
30,Australia,1072
31,Honduras,992
32,Israel,847
33,Dinamarca,843
34,Austria,797
35,Portugal,781
36,Japón,738
37,República de Corea del Sur,650
38,Polonia,536
39,Emiratos Árabes Unidos,527
40,Nicaragua,517
41,Noruega,432
42,Turquía,431
43,República Checa,427
44,Ucrania,401
45,Polinesia francesa,373
46,India,372
47,Aruba,306
48,Bahamas,289
49,Curazao,260
50,Filipinas,251
51,Finlandia,249
52,Hungría,203
53,Irlanda,191
54,Jamaica,184
55,Nueva Zelanda,169
56,Egipto,154
57,Taiwán (República de China),149
58,Hong Kong (Región Administrativa Especial de China),135
59,Rumania,132
60,Croacia,119
61,Indonesia,110
62,Tailandia,106
63,Sudáfrica,105
64,Grecia,102
65,Pakistán,98
66,Arabia Saudita,91
67,Bielorrusia,89
68,Catar,88
69,Luxemburgo,85
70,Kiribati,81
71,Líbano,81
72,Bulgaria,79
73,Barbados,75
74,Marruecos,72
75,Trinidad y Tobago,71
76,Bermudas,71
77,Malasia,71
78,Singapur,70
79,Estonia,61
80,Irán,60
81,Letonia,60
82,Haití,52
83,Belice,50
84,Lituania,49
85,Argelia,46
86,San Martín (Parte francesa),42
87,Eslovaquia,42
88,Kenia,40
89,Guyana,40
90,Islas Turcas y Caicos,38
91,Yemen,38
92,Vietnam,36
93,Serbia,33
94,Albania,30
95,Jordania,30
96,Islandia,30
97,"Bonaire, San Eustaquio y Saba",28
98,Surinam,26
99,Omán,26
100,Islas Caimán,25
101,Eslovenia,24
102,Dominica,21
103,Kuwait,21
104,Malta,20
105,Sint Maarten (Parte Holandesa),20
106,Nigeria,20
107,Senegal,16
108,Andorra,16
109,Costa de Marfil,15
110,Uganda,15
111,Bangladesh,15
112,Irak,14
113,Ghana,14
114,Barein,13
115,Benín,12
116,Islas Marshall,12
117,Cabo Verde,10
118,Kazajistán,10
119,Montenegro,10
120,Tanzania (República Unida de) ,9
121,Sri Lanka,9
122,Granada,8
123,Azerbaiyán,8
124,República Árabe Siria,8
125,Ruanda,8
126,Guinea Ecuatorial,8
127,Armenia,8
128,Papúa Nueva Guinea,8
129,Zimbabue,7
130,Túnez,7
131,Etiopía,7
132,Myanmar,7
133,Afganistán,7
134,Somalia,6
135,Angola,6
136,Islas Vírgenes de los Estados Unidos,6
137,Chipre,6
138,Mozambique,6
139,Camboya,6
140,Mónaco,6
141,Camerún,6
142,Gambia,5
143,Antigua República Yugoslava de Macedonia,5
144,Sudán del Sur,5
145,Níger,5
146,Nepal,5
147,Guayana Francesa,5
148,Mauricio,5
149,Bosnia y Herzegovina,5
150,Antigua y Barbuda,4
151,Chad,4
152,Georgia,4
153,Liberia,4
154,Sudán,4
155,Islas Vírgenes Británicas,4
156,Burkina Faso,4
157,Uzbekistán,4
158,Libia,4
159,Palestina,4
160,Botsuana,3
161,Zambia,3
162,Malí,3
163,República Centroafricana,3
164,Lesoto,3
165,Seychelles,3
166,Santa Lucía,3
167,Antártida,2
168,Guinea,2
169,República de Moldovia,2
170,Samoa Americana,2
171,Liechtenstein,2
172,Togo,2
173,Samoa,2
174,Malaui,2
175,Guadalupe,2
176,Islas Aland,2
177,Brunei Darussalam,1
178,Tayikistán,1
179,Turkmenistán,1
180,Timor-Leste,1
181,San Cristóbal y Nieves,1
182,Nueva Caledonia,1
183,Martinica,1
184,Comoras,1
185,San Bartolomé,1
186,República Democrática del Congo,1
187,Mauritania,1
188,Isla de Man,1
189,Congo,1
190,San Vicente y las Granadinas,1
